ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,1,64009,64041,0,}yjGiobyR?cBBYPa@bAcAz@y@TGh@At@?NCn@g@VYNw@Cc@I[kCoCa@?YFOH[X
147,1,64041,64051,1,kvjGsacyRZYPYBS?]aAeAuA_B]]mBhBm@s@a@c@TUm@q@DC
147,1,64051,64071,2,y~jGmocyRMOiB{BqBeCa@Ea@Ac@Ha@\}A~BqAhBEFrAjAc@d@@P
147,1,64071,64039,3,qnkGikcyRAQb@e@TZPV?d@RnC[\JfEg@b@DBmAzASB?EgC?_CA@VI^ET?V
147,1,64039,64369,4,}xkGkwbyR?WDUH_@AWuBA?^CpCBd@J^RZ\Rf@H~B@fB@pFBhB@z@@R?EDME{@AiBAqFCgBA@xHq@?
147,1,64369,64359,5,ovkGegbyRp@?AyH_CA_@RMJS\GX`@~C^|B@@f@lBn@|ABHiD|Ar@pAf@YPILBNRVl@@NNR
147,1,64359,64349,6,_tkG}}ayRk@Zb@z@nBxCFHl@t@RVfAhAJJJJbCvBbAkAj@f@h@`@
147,1,64349,63379,7,obkG{layRi@a@k@g@cAjAf@d@LHbDvB|@?t@Sb@}@T{@PkB|@JXJT`@tAlBLXc@bD
147,1,63379,63389,8,aujGedayRb@cDMYuAmBUa@YK}@KQjBUz@c@|@C~@Vr@zEzC\f@Nn@Ab@?L_@hCYxBCP[~BCPG\|ATRyA
147,1,63389,63399,9,ssjGio`yRSxAGf@SxAX~@
147,1,63399,63319,10,asjG{a`yRJ@`BRbALL@ALSdBMvA^~C?@
147,1,63319,63219,11,emjGgu_yRR`FDf@Lz@FRRXb@Vn@JB@
147,1,63219,63209,12,qijGyh_yRb@Hp@P|Ab@LDbDbALFzDrA^LzIfDNCNIP[G]aE}AkDsAWHS?MAy@[BS
147,1,63209,63199,13,}yiGkd_yRx@ZL@R?VIjDrA`E|AF\TjAVLh@VxAt@DsA
147,1,63199,63189,14,wfiG_y~xRt@^x@Xh@FPBV@n@MlAWj@I
147,1,63189,63179,15,i{hGgx~xRb@GpAKzCg@
147,1,63179,63369,16,wrhGcz~xR`C_@dAU`@c@p@]n@i@h@]`@e@LKnBmAxDqBJIPMf@l@LAJFFH?LIHSDwAXaAVe@t@Eh@
147,1,63369,66379,17,}ygGq|~xRh@EdAa@p@{@?SFIPANDDPCFf@`@~@u@bH_Gz@q@ROANQ?{@p@cH~F_At@gBhB?~@BXL`@RXpBl@p@L\FfARf@cF|@FKdB
147,1,66379,62139,18,eigGqw~xRJeBhCRbAFK`FZB|@?X?d@MNI\OJIlDiCx@o@l@g@j@e@lAgAJIJK??XOXC|@?n@?zBAX?GHQI{B@o@??~A{@?e@d@@VLJ
147,1,62139,62129,19,{mfGwz~xRMKAWd@e@z@??_B}@?YBYN??KJKH@IH?JK??XOXC|@?n@?zBAX??|BHXNTRNZF|@?@~AiACe@~AjA`@
147,1,62129,62119,20,{bfGwm~xRw@[oBu@_A_@\{@d@XtBbAjCdArBr@~DtAx@R
147,1,62119,61049,21,iteGai~xR^Jn@Nl@Hf@Dj@@xABrAEhACt@K`A?
147,1,61049,61039,22,gbeGeh~xRR?|AEjA?~ALdBNp@Fp@@L?N@z@DtBJ
147,1,61039,61029,23,wpdG}f~xRP@bDN~@D^@b@Dn@D~CRrBNl@DrAH`@Fb@DWDKKa@GsAIJ`A
147,1,61029,61019,24,_{cGkb~xRKaAm@EsBO_DSo@Ec@EJAVFn@D~CRrBNl@DrAH`@Fb@DTF`@DXJh@LnBh@xAd@`C^^K^Q\[PkAoAS
147,1,61019,60269,25,{icGkd~xR`Df@x@LpEt@
147,1,60269,60209,26,{~bGu|}xRtAKhAFbEp@pAPrAXj@H^{@AYA[?U?k@UuAaB\OHa@RMLU^kB[
147,1,60209,60179,27,svbG}{}xRzATpAPrAXj@H^{@PQHGTBPN`Av@l@`@lAXlBJ
147,1,60179,60159,28,o~aGkw}xRzAHtATZGZUTc@nBqD^g@XUl@a@`CoA|Aw@pGiDLPaCpAkAl@mDjBwBfAo@\STfB`DRHJLFRIPKNk@X
147,1,60159,60139,29,aoaGmv}xRj@YJOHQGSKMSIgBaDYZsBxDKPAP@ZHXRR|@`@~EpCdAl@m@`ArAt@PJ
147,1,60139,60119,30,}eaGan}xR~@d@f@\q@hAnDrB~@h@xAz@nAt@j@\|CjBk@~@GFoA{@
147,1,60119,60099,31,}s`Gu~|xRxAz@z@h@~B`Bv@l@zBxALLd@^~CvBlDhCf@u@NUMGG}@KE@l@B^a@d@_Ao@
147,1,60099,7329,32,w{_Gim|xR~@n@`@e@C_@Am@JDF|@LFOTg@t@LHlDhC`Al@\Vh@RvAPfCb@NMFSu@q@[[
147,1,7329,7319,33,cl_Gqb|xRvB^ZFl@JdB`A|@h@~A~@
147,1,7319,7419,34,}}~Fq{{xR|BpA|BrAhBbAnBdAdAj@pAr@l@\r@d@fAn@
147,1,7419,7529,35,ee~Fmk{xRd@Vb@TVN~@f@bBbAzAuA
147,1,7529,7518,36,gx}Fac{xR^Rj@^tAj@|@j@~@h@^^vB`BrB~AdDfCTP
147,1,7518,4019,37,eb}ForzxRNL~AlAbClBnFhEvAhA
147,1,4019,4159,38,cm|Fy`zxRhA~@oBbCu@ESGsAgA`CgD`C}CxBwCnCgDfDvC
147,1,4159,4149,39,q}{FylzxRgDwCuDcDeCkBIGXa@l@y@\c@~@mAv@j@jAv@zAbAhBnA|FtDv@b@pBbAzAx@TJx@`@dAj@aAzBw@a@
147,1,4149,4229,40,go{FwczxRr@TLD`ExATHjA`@~AwB
147,1,4229,4239,41,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@\JrCvB`At@
147,1,4239,5059,42,uvzFmuyxRbAv@~B~AVRtAhA@`@Oj@eAbB{@lA_@p@o@z@zApANNhAbAX]~AcDl@mA
147,1,5059,5049,43,ykzFwjyxRe@_@c@]aA}@kA_A_Aq@CWBW~B~AVRtAhA^XzCbCpAfArB|A
147,1,5049,5039,44,aazFscyxRxBbBl@j@d@b@tAdAtAfAjA|@j@kA
147,1,5039,5019,45,msyFaxxxRPLpAbAt@p@`BrAfAz@~@r@
147,1,5019,5069,46,igyFymxxRdClBlAdA
147,1,5069,10011,47,u`yFehxxRn@h@z@l@RNLHTI`Ae@hEmBRGVzAVxAZrDZ~A
147,1,10011,10041,48,unxFswwxRHjAB`@JjBf@l@^b@bCvCNM
147,1,10041,10051,49,_gxF}iwxROLDLFNLbAAn@YfAkAnBGFcAdAQ^q@hB
147,1,10051,10061,50,knxFmxvxRMZSh@a@dAGNUj@Ul@}@jDQd@]|@pAf@
147,1,10061,10071,51,ywxFqdvxRk@`AoAzBe@x@k@fAYv@o@|AO^dDzAa@~@c@S
147,1,10071,10501,52,m~xFypuxRn@X`@_AeD{Ak@rA}@tBEJoAzCi@xBEl@DVVZXNnD@N?t@AfDEh@@`BHRFFFHHFJQBsBOkA@yEHq@@uBAgC[Jc@nBwEaB{@UMYc@m@s@OMTWHRXZp@z@f@T
147,1,10501,10081,53,gbyFsjuxREmAcAc@oAzCoBvEKb@mA`E[z@q@nBY|@o@rBy@bDLH~A|@h@j@pBbBRPGAKOqBcBi@k@_B}@MIx@cDn@sBX}@eBk@_AMJa@pAXZoA
147,1,10081,10091,54,aoyFqwtxRWp@Y|@o@rBy@bDCHo@fCq@pDYbBQ|@
147,1,10091,10101,55,ixyFu|sxRk@bDc@bCMp@_BhJEPUtA
147,1,10101,10111,56,m|yFafsxRy@OEPi@`Du@dE_AjFQxCCd@APWpEANQtCtBDF}B
147,1,10111,10131,57,iazFqhrxRPyDgBECd@APWpEANQtCOjCANtBLObB
147,1,10131,11021,58,}bzFsxqxRNcBuBMATQzCANSjBCP_@`BoArBoAvAMNKLmAhAy@r@mBlB{GxHSAGUbAeAjBiBWQy@@?B
147,1,11021,11031,59,{|zFg}pxR?Cx@AVPfCqB{GxHUVy@v@yCtCkAdAiAt@u@`@oB`A_@Vc@b@S\kAUcAOeIkA{Aa@eAe@}B{@mASeAUqEk@gC[aBQ|@q@t@J|HfAbB^x@^`H`ClA\bBVp@JdAJbAJjAAZI\Ml@]xBaAl@]j@]b@_@XY|AaB
147,1,11031,11041,60,ke{FgppxR[XkAdAiAt@u@`@oB`A_@Vc@b@S\kAUcAOeIkA{Aa@
147,1,11041,11051,61,md|FgjpxReAe@}B{@mASeAUuC_@
147,1,11051,11161,62,{s|FsopxR{@KgC[gA?g@F[RwCdDeBbCeBpB
147,1,11161,11171,63,qk}FgcpxRxBiCNCL?HHDTgBrBmEfFeBbBgHhIyBhC_ApAg@`AYRUHU?Xi@~@aBv@y@fBmB
147,1,11171,11181,64,{}}FcnoxRBC~GcIp@{@|@oA|CsDpCeDNCL?HHDTgBrBmEfFeBbBgHhIyBhC_ApAg@`AYRUHU?YQWOmB}@cApA|@l@RY^Vu@~@
147,1,11181,11191,65,}i~Fg}nxRIN_@z@]jAQr@GVc@xAg@`BQ~@Ct@AJ@NDp@JtANfB
147,1,11191,19011,66,_o~FednxRR~Bb@fERnAPnABx@G~@I~@Ux@[jA
147,1,19011,19021,67,an~F}jmxRSj@iBpDKVOVqB~DwAlC
147,1,19021,19031,68,ey~FaxlxRvAmCpB_ENWvEzCzA`A~CxCRPh@^tAbAc@ZqA|@a@\a@h@i@jAOj@IXa@zAGTSh@eB|EENqArDENUEyCk@}ACo@?w@LQHKJq@hBGPMJk@aBv@eC]Kg@YOMGQNi@iAm@WSe@a@`AuAP]
147,1,19031,19041,69,ua_GqelxRQ\aAtAd@`@VRhAl@Oh@FPNLf@X\Jw@dCj@`BINODa@MDUOMg@Oa@MPu@CMQGeBg@i@mBi@_@Sn@YnBIrABhA
147,1,19041,17151,70,aj_G_tkxRBvA?F?DDv@j@vJPdBBT@RDbBFnABd@PfDLdB?P
147,1,17151,17161,71,mb_GsojxR?GG}AyB@LdB@z@?tBCXGn@Kh@Or@ETGN[`Aw@~AkAzAv@v@h@f@Z[[YAI?SAWDKPQRD
147,1,17161,17171,72,kh_Gw|ixRSEQPEJ@V?R@HZX[ZNPlAlAVTn@n@BJ@JAHCFsArAp@l@?p@?q@q@m@rAsABG@IAKCKo@o@WUmAmAOQi@g@c@K]@m@Fy@j@mAn@aA^uAd@uAb@[JC@
147,1,17171,17009,73,c{_GisixReA\c@L}@^pAjBJG
147,2,17009,17239,0,_z_GcnixRVj@bAj@l@HFH@LEt@hB?dA?Z?ZGTKVKPSt@u@h@g@fAiArAsABG@IAKCKo@o@WUoArAOBMGeAaA
147,2,17239,17159,1,ci_GaxixROQi@g@w@w@jA{Av@_BZaAFODUNs@Ji@Fo@BY?uBA{@C[
147,2,17159,19049,2,mb_GsojxR?GG}AyB@LdB@z@?tBCXGn@Kh@Or@ETAEFONs@Ji@Fo@BY?uBA{@MeBQgDCe@GoAEcBASCUQeBk@wJ_DP
147,2,19049,19039,3,wn_GonkxR~CQEw@?E?GGaDHsAXoBRo@Ty@d@gAjBqD
147,2,19039,19029,4,qc_G}flxRxF}KHOFKFM`@w@FKzAuC
147,2,19029,19019,5,wv~F_|lxRHOpB_ENWJWhBqDRk@ZkA
147,2,19019,11199,6,wq~FopmxRABEh@GNQVDLOf@`Bd@K\kA`CGDI@M@q@_@_@KMb@b@VhBz@JWhBqDRk@ZkATy@H_AF_ACy@QoASoAc@gEc@gFKuAEq@sCImADm@JmAP\vBbBYr@IBX
147,2,11199,11189,7,eu~FmgnxRCYs@HcBX]wBlAQl@KlAErCHAO@KBu@P_Af@aBb@yAFWPs@\kA^{@HOLSJMZgApA}BYQWOmB}@cApA|@l@RY^Vu@~@
147,2,11189,11179,8,}j~FqaoxRt@_A_@WSX}@m@bAqAlB|@^@j@If@}@
147,2,11179,11169,9,sc~FwgoxRVc@v@y@jBqB~GcIp@{@|@oA|CsDV[
147,2,11169,11059,10,qk}FgcpxRxBiCvC_D~@oAfA_BrB]t@J|HfA^eCsAS
147,2,11059,11049,11,cq|FeupxRe@IOIe@g@FO\_@PSr@{@FCrA@EjAA^Cf@K|@_@dCbB^x@^`H`ClA\bBVp@JdAJbAJjAAZI\Ml@]xBaAl@]j@]b@_@XY~DiEj@e@P@HPy@v@yCtCkAdAiAt@u@`@oB`A_@Vc@b@S\kAUcAOeIkAY`A
147,2,11049,11039,12,k~{FgipxRlARrA?|ADh@?d@El@Mb@Mf@Sv@]fAi@|@g@VSw@y@[N
147,2,11039,11029,13,on{F}mpxR|@i@MQHk@^RPNv@x@n@W~DiEj@e@T[bAeAjBiBWQy@@?B
147,2,11029,11019,14,{|zFg}pxR?Cx@AVPfCqBlBmBx@s@lAiAJMLOnAwAnAsBFW
147,2,11019,10139,15,ihzF{oqxRViABQRkB@OP{Cg@Ak@QQCk@Gm@Ee@m@@s@VKf@k@Bk@xAHDBEx@
147,2,10139,10119,16,khzFs`rxRO`C@Lj@Pf@@@U@ONkCPuC@OVqEgBOmAK^eE?C
147,2,10119,10109,17,mczFasrxR?I~@kFt@eEJm@
147,2,10109,10099,18,m|yFafsxRy@O~AiJLq@b@cCd@qC
147,2,10099,10089,19,wxyFe{sxRX{AXcBp@qDn@gCBIx@cDn@sB
147,2,10089,10079,20,gpyF{ttxRLc@p@oBZ{@lAaEJc@nBwEnA{CDK|@uBj@sAN_@n@}AmBy@UTQd@
147,2,10079,10069,21,wcyFwxuxRPe@TUlBx@Xw@j@gAd@y@nA{BpA{B`@{@\}@Pe@|@kDTm@Tk@FO`@eARi@~@eCP_@bAeAFGEFA?cAdAQ^_AdCSh@a@dAGNUj@Ul@}@jDQd@]|@pAf@
147,2,10069,10059,22,_sxF_gvxRqAg@a@z@qAzBoAzBe@x@k@fAYv@mBy@UTSh@]v@SGRF\w@Ri@TUlBx@Xw@j@gAd@y@nA{BpA{B`@{@\}@Pe@|@kDTm@Tk@FO`@eARi@L[
147,2,10059,10049,23,knxFmxvxRp@iBP_@bAeAFGjAoBXgA@o@McAGOEMNM
147,2,10049,10017,24,wfxF{fwxRIu@GOEMcCwC_@c@g@m@m@w@i@g@eAaBa@s@
147,2,10017,10018,25,}sxFqxwxRkAqBy@sA
147,2,10018,5012,26,ovxFo~wxRTb@nBpDFHWRa@s@mAsBkAkBGIQWYa@_@]a@[[Ue@[sAqAa@_@{@]oEcDkA_AwAiAkCwBsDwCwAkACQ@KFEJEd@b@tAdAtAfAjA|@pAbAt@p@`BrAfAz@~@r@
147,2,5012,5022,27,ihyF}lxxReAu@kA_AwAiAkCwBsDwCwAkAu@o@UUoB{A
147,2,5022,4222,28,aazFscyxRxBbBYd@UUqDqCwBaB}CcCc@]aA}@kA_A_Aq@CWBWVc@
147,2,4222,4223,29,uvzF}syxRyBcBkAy@[WIk@KGcAm@u@]
147,2,4223,4143,30,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@KGcAm@cBw@KGkAa@UIaEyAMEyAe@iBy@]v@
147,2,4143,4121,31,kv{FmgzxRgBw@{@bB]~@_CmAQ?Q@KFSR]`@AB
147,2,4121,8079,32,od|FiczxRWR[T]P{@d@{@l@oBbCu@ESGsAgAkB_B
147,2,8079,7011,33,cw|Fy`zxR_@[o@WaHoA
147,2,7011,7021,34,ub}F}dzxRa@I]Eo@CaAGqEAIAi@C
147,2,7021,7031,35,mp}FafzxRk@Cq@G_@Ig@KWO[QiAq@kAi@g@a@w@a@UK
147,2,7031,7111,36,s_~FqmzxR{@e@QKm@_@q@]OK}A}@eBaAo@_@iAm@qAu@SK
147,2,7111,7211,37,ur~F}yzxRYOs@a@]SOIq@_@i@[k@[sAu@YQm@a@KIuAaAaBmAcBoAwAeAaAq@
147,2,7211,7221,38,wm_Gqm{xRaAu@{BaBiBsAiAw@
147,2,7221,60101,39,iy_Guv{xRcFsDyCyBmBwAeE}Cg@t@
147,2,60101,60121,40,sh`Gqh|xRiBoAeAvAWNuC}B}EiDiBqAg@_@Yn@Cd@vAdA
147,2,60121,60141,41,g}`Gwo|xRwAeABe@Xo@}BcBsAaAo@c@WSa@Y
147,2,60141,60161,42,}haGk||xRYUaGkEcBqAk@a@
147,2,60161,60201,43,ivaGag}xRa@Yg@]uDuCsBwA{AiAeAw@q@a@_@O]KcAMy@Os@Wc@K[GiH{@W`BpEt@l@J
147,2,60201,60261,44,ctbGiu}xRjCb@Tw@I_@U_@c@K[GiH{@uBeAsCg@q@MUEJAHFp@LrCf@DA
147,2,60261,61011,45,o_cGw|}xReCc@q@MUEkAMaC_@
147,2,61011,61021,46,yocGg{}xRKx@b@b@D`@Fj@xBU^KZQ`@a@BCRYRqAIe@O[_@YaC_@yAe@oBi@i@MYKa@EUGc@Ea@GsAIJ`A
147,2,61021,61031,47,q~cG{d~xR{@G_DSo@Ec@E_@A_AESA
147,2,61031,61041,48,ukdGmf~xRoCM{@EOAM?q@Aq@G{@X_FR
147,2,61041,62111,49,__eG_f~xRq@BuAJkA?o@Iw@@g@@a@Ag@?mAG{@GeBYy@S
147,2,62111,62121,50,oteGci~xRd@Ln@Nl@Hf@Dj@@xABrAENZANGJWDg@@a@Ag@?mAG{@GeBYiAYo@UkDmAq@fB@JAJEDI?GCGCBMHMu@c@YA
147,2,62121,62131,51,{bfGwm~xRw@[oBu@_A_@w@e@gByAcBqAk@e@g@_@l@g@j@e@lAgAJIJK??XOXC|@?n@?zBAX?GHQI{B@o@??~A{@?e@d@@VpAdAVTPL
147,2,62131,66371,52,mjfGyw~xRQMWUbAkA@w@w@??_B}@?YBYN??KJKHmAfAk@d@m@f@y@n@mDhCKH]NOHe@LY?}@?[CwAISAaBKyAI??gAS]Gq@MUvBbAL@QP@
147,2,66371,63361,53,ungGoq~xRQAAPcAMTwBqBm@oAk@MGMGuBy@a@KuAMObBI?eAGIA
147,2,63361,63181,54,mbhGix~xRH@dAFH?NcB_AG_AEgACsAC_@AoB@eAT}GfA
147,2,63181,63191,55,uwhG{x~xRoAJoAPmAVo@LWAQCi@Gy@YyAu@i@WWMe@Qa@O{IgDv@`Bt@nAd@\l@BVI
147,2,63191,63201,56,imiGo|~xRwHuC_@Mc@Q
147,2,63201,63211,57,}yiGkd_yRx@ZL@R?VIjDrA`E|AF\TjAe@Qa@O{IgD_@M{DsAMGcDcAME}Ac@q@Qo@Kk@lCCb@P~@h@I`@GO}@Pg@t@R
147,2,63211,63311,58,uejGog_yRe@Mq@Qo@KuAYMCKAOAkBSUCRaB^mD
147,2,63311,63391,59,kpjGes_yRZqCh@qALwAC_@I_@O]]e@aBS_AK_@KUO
147,2,63391,63381,60,owjGq_`yRx@HfANVaB_AK_@Kk@]SYO]Ga@?a@^sCFe@F]BQZ_CBQ@BEL[~BCPG\|ATRyA
147,2,63381,63371,61,ssjGio`yRSxA}AUGd@_@rC?`@F`@N\RXj@\^J~@J`BRbALL@I@CCcAMaBS_AK_@Kk@]SYO]Ga@?a@^sCFe@F]BQZ_CBQXyB^iC?M@c@Oo@]g@{E{Cu@e@OIHMf@u@b@}@T{@PkB|@JXJT`@tAlBLXc@bD
147,2,63371,64341,62,ixjGaeayRo@c@RUDm@^mC\YUa@YK}@KQjBUz@c@|@g@t@ILaAo@cDwBcApAXV
147,2,64341,64351,63,}fkG_hayRYWbAqAMIg@e@cCwBKKmAxAKvA]?KBg@Ce@Cg@_@PkD\GPHXf@
147,2,64351,64361,64,_mkGcrayRm@o@SWm@u@GIoByCc@{@We@EKiD|Ak@kArAq@EK
147,2,64361,64031,65,qzkG_`byRDJsAp@j@jAhD}ACIo@}Ag@mBAA_@}Ba@_DK_ACWAUIcACe@BqCuBC??A~@P??L
147,2,64031,64079,66,k_lGiwbyR?MQ?@_A??tBB?_@@wA?QBe@PiA`@sAb@u@HOFKt@iAn@o@~BqBj@m@DGpAiBUKw@Mc@CCR
147,2,64079,64059,67,aqkGiscyRBSb@Bv@LTJ|A_CT[d@o@NQR]`@e@~AqAJInCaC\Q^G`@A`@Dv@TrH~BTFOAEEsH_Cw@Ua@Ea@@_@F]PoC`Ct@p@GlAo@l@~@bA@B
147,2,64059,64049,68,_akGgwcyRAC_AcAn@m@FmAu@q@KH_BpAGf@AP?VPn@pBdChBzBtAxA`AdA\\tA~A`AdAt@x@jCnC\Jb@Bb@E\MhBcBcAiAQMUPm@j@s@}@MLQDaAeA
147,2,64049,64009,69,qqjGyfcyRxA|APELMl@g@b@f@PSRRPLbAhAiBbBiA~@{@z@WXo@f@OBu@?i@@UF{@x@k@j@
190,1,44009,44539,0,_tmGi}exRv@GF\h@K^IVIQREI_@Hi@JH^X~AFXJFPE
190,1,44539,44399,1,mlmGquexRQ{@Ia@UcAGWIc@Kc@dAk@hAo@\UVM~@k@f@c@JSxAaE
190,1,44399,44299,2,s`mGugfxRc@rAp@Xo@fBv@Xt@TdBcFr@RfCz@`@gAbCeHaCy@i@SaBi@^gATk@qAe@Z_A
190,1,44299,44289,3,mxlGczfxR[~@pAd@Uj@_@fAiBo@s@WFQNc@`@kAj@}BBs@Ei@Gk@Gi@Bo@f@yByA[\mB
190,1,44289,44279,4,e{lGylgxRs@u@TaAXJ`@wA~AX`@LJ]h@uBT[\]LIb@Yh@Sd@ONGJC`AQp@EfA?J_AIC
190,1,44279,44141,5,_hlGs}gxRHBK~@zBTf@Bf@Gd@OXGM[cAyBqAeDEI?AEKOc@
