ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
190,1,44141,44251,6,uelGmghxRCIGSY}@Qg@Uw@CKmBcGUw@a@eAM]MSq@aBgBuFe@}@MS^Q\QbEyAr@[\MA`A`@~B]?YcBIMOE[J]RsAf@i@jBDNPh@FR
190,1,44251,44241,7,iqlGwaixRy@iCe@}@MSK]Sm@UaAKiAE}@@kAHkAJg@
190,1,44241,44231,8,gvlGiwixRPw@b@iAtBaERa@lEgI
190,1,44231,44261,9,oflGijjxRr@^X]dAiBbAb@vAsCy@a@n@qAf@cAx@yAsAs@aAg@YOLSj@cArAiC?gAEc@kB_A`@{@n@Xf@}@
190,1,44261,40239,10,qvkGykkxRPe@T}@VgBJqCRuFJyCHy@Pg@XWf@Qf@Kb@Hj@b@z@z@`@Rb@Jh@BjBSlBYhCU~GiAzFaA~Gy@`AMzLgAxGi@PC`C[fDs@bGeB`FgBfFmCpF{DrEoEpEaGrJ}PbBqCjBaCrAqAfBqAtBcBx@e@p@m@f@u@Vi@Jq@D{@N{FPqDb@eDv@eDrAeDrAuB`AoArAuAbF}EdEqDpDmDjQqPnBkBtDmDzFsGfCuCvS}Uv@sAx@qBb@_BhAoGJ]p@uBfC_GxGiOlC_GbAmCvCuJ|@kC\s@v@oAbAuAfBgBpBiB|@iBPo@RcBDaAI{AOgAOc@a@SWASBUPKXCV@XH\J\Tr@^PPFd@NhCf@dATzAFr@AzEWLFj@Th@TnDtA
190,1,40239,40229,11,}kaGequxRvBz@lDx@`B`@x@L?@|@BrBOXAjAKHA
190,1,40229,40219,12,yt`GyluxRfAKhAILAv@GbCSTANAGcBjAI
190,1,40219,40209,13,_f`G}nuxRvBOJAH?P@pCY~Ba@xA_A`AyADG
190,1,40209,40199,14,ir_GywuxRf@y@N]Vw@Jq@VwARkATqAJm@@Eb@uCTyABSF_@^}B
190,1,40199,9219,15,yg_GauvxRFa@Ja@b@u@b@a@l@Yp@OzBIASgA@GKBQDGDEhEQ|Da@p@RhBh@f@Nh@Nn@T
190,1,9219,9047,16,gj~Fe{vxRxDnAz@\`AXPHtATj@H\CTSpAmC
190,1,9047,9037,17,kr}FyyvxRBQZe@xA{A`EqEn@aAh@kAJ[m@WuB_A_AGk@BqDoAh@kA^}@`@}@t@eBlA?
190,1,9037,8138,18,ok}F{pwxR@Cb@cA`A_CDQhBcFHU`@eBn@mCh@gC^eBj@mCbAwEu@KqAS_BbH
190,1,8138,8057,19,eb}F_uxxRw@hDjCb@j@mCbAwEn@uCn@qCLq@FG^cB`@eBpAyFE_B{@JYJQJMXS`A[`Ak@t@m@f@dAT
190,1,8057,8069,20,kw|F}gyxR`@eBpAyFE_BGeCJu@Pq@o@i@
190,1,8069,4159,21,_m|Fw`zxRdA|@oBbCu@ESGsAgA`CgD`C}CxBwCnCgDfDvC
190,1,4159,4149,22,q}{FylzxRgDwCuDcDeCkBIGXa@l@y@\c@~@mAv@j@jAv@zAbAhBnA|FtDv@b@pBbAzAx@TJx@`@dAj@aAzBw@a@
190,1,4149,4229,23,go{FwczxRr@TLD`ExATHjA`@~AwB
190,1,4229,4239,24,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@\JrCvB`At@
190,1,4239,5059,25,uvzFmuyxRbAv@~B~AVRtAhA@`@Oj@eAbB{@lA_@p@o@z@zApANNhAbAX]~AcDl@mA
190,1,5059,5049,26,ykzFwjyxRe@_@c@]aA}@kA_A_Aq@CWBW~B~AVRtAhA^XzCbCpAfArB|A
190,1,5049,5039,27,aazFscyxRxBbBl@j@d@b@tAdAtAfAjA|@j@kA
190,1,5039,5019,28,msyFaxxxRPLpAbAt@p@`BrAfAz@~@r@
190,1,5019,5069,29,igyFymxxRdClBlAdA
190,1,5069,10011,30,u`yFehxxRn@h@z@l@RNLHTI`Ae@hEmBRGVzAVxAZrDZ~A
190,1,10011,10041,31,unxFswwxRHjAB`@JjBf@l@^b@bCvCNM
190,1,10041,10499,32,agxFqhwxRLbAAn@YfADd@
190,2,10499,10049,0,igxFoawxRa@~C?p@HrBV~C^~DNzAHh@Rf@`@f@l@f@nB~Ax@b@`@JVALBHFFLu@@k@Oq@y@oB_Bm@g@a@g@Sg@Ii@O{A_@_EW_DIsB?q@Ma@a@s@jAoBXgA@o@CM
190,2,10049,10017,1,wfxF{fwxRIu@GOEMcCwC_@c@g@m@m@w@i@g@eAaBa@s@
190,2,10017,5012,2,muxFy|wxRbB~CFHWRa@s@mAsBkAkBGIQWYa@_@]a@[[Ue@[sAqAa@_@{@]oEcDkA_AwAiAkCwBsDwCwAkACQ@KFEJEd@b@tAdAtAfAjA|@pAbAt@p@`BrAfAz@~@r@
190,2,5012,5022,3,ihyF}lxxReAu@kA_AwAiAkCwBsDwCwAkAu@o@UUoB{A
190,2,5022,4222,4,aazFscyxRxBbBYd@UUqDqCwBaB}CcCc@]aA}@kA_A_Aq@CWBWVc@
190,2,4222,4223,5,uvzF}syxRyBcBkAy@[WIk@KGcAm@u@]
190,2,4223,4143,6,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@KGcAm@cBw@KGkAa@UIaEyAMEyAe@iBy@]v@
190,2,4143,4121,7,kv{FmgzxRgBw@{@bB]~@_CmAQ?Q@KFSR]`@AB
190,2,4121,8041,8,qc|FkdzxR]`@WR[T]P{@d@{@l@oBbCiAvAQ\GV@ZBXFJ`@b@HJ
190,2,8041,8031,9,yk|FaxyxRJs@Ju@FmBoBbCiAvAQ\GV@ZBXFJ`@b@\d@DPBN?f@M`Ai@fCER
190,2,8031,8111,10,sp|FshyxRWlA_@dBc@fBc@t@uA~BYf@Wr@Wp@UfBGd@UhB
190,2,8111,8121,11,g{|F{mxxRWnBIx@YxBU`B
190,2,8121,9011,12,y}|FuaxxRgAlIId@Oz@Kj@Kn@~AxA\`@H`@Ft@q@xBuAk@}BaAKZi@jAo@`A}BfC
190,2,9011,9023,13,ml}Fw`wxRcAhAkAlA
190,2,9023,9213,14,gr}FsyvxRDNvBjB{AhBc@r@eAtBMIgAm@]WkBmBMKkAeAs@_@QIaAY{@]_GoBI?
190,2,9213,40191,15,wl~Fe|vxR}CQiB?cHPgA@oC@e@P]Ti@p@Ob@}@xFG^CRUxAc@tCUg@eBmB{@gAcAx@SFa@EoAi@m@q@l@p@nAh@`@DRGbAy@z@fA~@Zn@DXMTSTyAg@M[IQBMBE?
190,2,40191,40201,16,ek_GmnvxRSpAc@tCADKl@UpASjAWvAKp@Wv@dAP
190,2,40201,40211,17,cq_GoyuxRmAjBaAxAyA~@_C`@qCXQAI?K@wBN
190,2,40211,40221,18,_f`G}nuxReAFQBO@U@cCRw@FM@iAHgAJ
190,2,40221,40231,19,as`GcmuxRaAJkAJY@sBN}@C?Ay@MaBa@kCm@
190,2,40231,44269,20,}kaGequxRcBo@i@Uk@UMG{EVs@@{AGw@PSHYZ}@hBm@t@w@h@iCvBmArAqAhB]l@g@bAm@fBeDzK}@zBeDlH_FlKyCvGy@`Ci@hCS~A[jBi@hBs@fBy@rAkQlSuA~AoD`EaErEqAxAsOnNoDhDgEtDeF|EuHbHcBpB_BlCiAhCa@fCKp@At@?n@D\Nd@f@r@l@j@zAlAZ`@P`@Fl@Ah@Of@GVWZa@`@{@p@eJ~E_@TuAz@{CtBsArAiB~BcBpCsJ~PqE~FuEnEqF|DeFlCaFjBoF|AuCd@_Ft@G?aHj@mMfAC?iHfAiThDuFnAsGlBWJ_@XS^a@pCKpCWfBU|@Yr@_AdBQ\OXm@jAsAhCCj@B^Nj@PVrAr@v@{Ax@{Az@b@hBiDg@USIS^aAg@fBaD
190,2,44269,44239,21,yrkG{ikxRgB`D`Af@R_@RHf@TiBhD{@c@y@zAw@zAvBhAs@~Ae@~@s@nAaAg@wArCcAc@Le@s@c@w@xA
190,2,44239,44249,22,aclGyojxRr@`@Md@eAhB`Af@}AvCdAd@kArBs@vAfAj@`Aj@MRe@|@S|@Ex@B|@BPBLMDqAf@u@ZMFOFiA}C]_ASQWIe@EYENa@[QGI?MLS
190,2,44249,44259,23,}plGayixRZNBN?LINO`@XDd@DVHRP\~@hA|CA`A`@~B]?YcBIMOE[J]RsAf@]nA
190,2,44259,44149,24,aqlGyfixR\oArAg@\SZKNDHLXbB\?a@_CWOYG]?cExASd@AXJt@fBtFp@`BLRL\`@dATv@lBbGBJTv@Pf@X|@FRv@Ul@xA
190,2,44149,44271,25,qblGoehxRo@}Aw@TRl@DJ?@DHpAdDbAxBLZYFe@Ng@Fg@CmBS
190,2,44271,44281,26,_hlGs}gxRHBK~@zBTf@Bf@Gd@OXGJRl@rATz@b@dCLt@f@fAZd@T\ICKY[e@g@gAMu@oCLg@BqAFIgAKO}@m@KE[AqAF[FUPUb@w@~Cm@bC_@C_AUOELe@c@I
190,2,44281,44291,27,mtlGemgxRb@HMd@aCk@GXi@vBg@xBCn@Fh@Fj@Dh@Cr@k@|Ba@jABf@DNPThBn@^gATk@qAe@Z_A
190,2,44291,44391,28,mxlGczfxR[~@pAd@Uj@_@fA`Bh@h@R`Cx@cCdHa@fAgC{@s@SeBbFu@Uw@Yn@gBq@Yb@sA
190,2,44391,44009,29,sbmGejfxRoAlDKRg@b@_Aj@WL]TiAn@eAj@WH_@Hi@J[Dy@DE?qBAFzBhAC
960,1,46009,46549,0,mywGusmxRw@ThA|Dx@RhHmB~ArF`@~ADPFJn@`AFFvAvAHHbDbD~@pA
960,1,46549,46539,1,q{vGszlxRj@p@LDHCZMPCJDFLt@dB{@^jAtCx@[`@bAb@dA[Fc@T?jD
960,1,46539,46529,2,esvGiflxR?kDb@UZGc@eAuAj@wAf@BVVfBHhB?bOfB?b@?NDTNHPBL?d@Ah@?jAi@?
960,1,46529,46491,3,ovvGgnkxR@jF?\Dv@@XB\HjAJdA
960,1,46491,46381,4,kuvG{}jxRd@tEVbBd@zDf@jBf@jBhApB`@b@r@l@z@l@hD~AJH
960,1,46381,45139,5,ecvGq|ixRb@T|@v@RPLNVXl@`AtBbFVf@vAvBr@bAV^TXLRz@lA\d@TX\f@|@lA
960,1,45139,45129,6,ykuGk}hxRh@t@x@vAfAjBr@dBV`Ad@`DH\
960,1,45129,45119,7,qbuGijhxRd@tCVfANh@L`@Zn@??j@p@t@`@VPZLfAd@JFz@`@
960,1,45119,45109,8,sutGkygxRdFdClDhA??nCRb@B??`@?`@?jAFfA?
960,1,45109,45099,9,s|sG{qgxR~EAl@CN?zCI`Ce@lBu@~CwAv@O
960,1,45099,45079,10,q`sGoxgxRx@QlAAdB@X?rB?^@pBFvCHv@CVC
960,1,45079,45069,11,{hrGuxgxRzD]fCUj@EhAKvAE
960,1,45069,45059,12,ixqGa{gxRL?dI?^?D?^?bD@^?~AH
960,1,45059,45049,13,ycqGyzgxRbDP~UdCVJv@RPF\H\JRFZH`AVtD|@fFlAfATjAVF@x@@fABdKu@bAI~@Ih@ILCGFECi@H_AHcAHeKt@gACy@AGAkAWgAUgFmAuD}@O~@
960,1,45049,45039,14,u_pGypgxRIf@fBVlALn@PIp@pBV
960,1,45039,45029,15,gsoGyngxR^JfATjAVF@x@@fABzFc@
960,1,45029,44999,16,maoG{mgxR{Fb@gACy@AGAkAWgAUgFmAuD}@aAW[IXC@L`AVtD|@fFlAfAT|AW~AKj@ApOcAv@K
960,1,44999,45019,17,ownGgogxRECi@H_AHcAHeKt@gACy@AGAkAWgAUgFmAuD}@aAW[IXC@L`AVtD|@fFlAfATjAVF@x@@fABdKu@bAI~@Ih@ILC|FaAtCq@|Ae@ZMzCiADC
960,1,45019,44069,18,qdnGyugxRrAg@hB}@rAs@n@a@NKROr@c@nD}BpCwBbAaAdAqARw@Fk@EYgAeCq@U]Ea@VETKZMh@GZCJA?M^OZOHONOHEBMDUFQBU@O?MAGAGX`@H@L\t@CN
960,1,44069,44059,19,osmGu`hxRf@]pCwBbAaAdAqAx@{@n@m@`@W\YvAo@z@q@rCoAhEqBxAq@l@_@|@WLRL\yAf@qFrBaFrBmAZwAn@^~@gEhDFR
960,1,44059,44049,20,cmmGqihxRkCfCM@OEy@cBCYhAYOYDCNINONIN[L_@@?BKF[Li@J[DUL[DGZ_@`@c@d@WNIHCt@WhAYf@MpCk@`@ITIJIDCDEHMFOFS??@UAQEUYq@h@QZObAa@RGJ@FJLd@RDP`@BV[NSC[JSLAXJ@
960,1,44049,44251,21,eylGa}hxRKA@YRMZKRBZOCWQa@SEMe@GKKASFcA`@[Ni@PGOk@sA`GaCx@WXI^Q\QbEyAr@[\MA`A`@~B]?YcBIMOE[J]RsAf@i@jBDNPh@FR
960,1,44251,44739,22,mplGocixRGSQi@EOh@kBrAg@\SZKNDHLXbB\?a@_C@aAiA}CZMZr@
960,1,44739,44201,23,ujlGsqixR[s@[LhA|C]Ls@ZcExA]P_@PK]Sm@UaAKiAE}@@kAHkA\_Bb@iAtBaERa@VN~Ax@n@ZfCrAr@wAt@^n@iA
960,1,44201,44211,24,}alGw`jxRo@hAu@_@s@vAfAj@b@DVC`@MPOdBeDpEsI~CaGHMMGcCqAs@~At@\mBrD
960,1,44211,44221,25,{ykGwmjxRlBsDu@]r@_B}@e@
960,1,44221,44261,26,mxkGoxjxRy@c@sAs@aAg@YOLSj@cArAiC?gAEc@kB_A`@{@n@Xf@}@
960,1,44261,40239,27,qvkGykkxRPe@T}@VgBJqCRuFJyCHy@Pg@XWf@Qf@Kb@Hj@b@z@z@`@Rb@Jh@BjBSlBYhCU~GiAzFaA~Gy@`AMzLgAxGi@PC`C[fDs@bGeB`FgBfFmCpF{DrEoEpEaGrJ}PbBqCjBaCrAqAfBqAtBcBx@e@p@m@f@u@Vi@Jq@D{@N{FPqDb@eDv@eDrAeDrAuB`AoArAuAbF}EdEqDpDmDjQqPnBkBtDmDzFsGfCuCvS}Uv@sAx@qBb@_BhAoGJ]p@uBfC_GxGiOlC_GbAmCvCuJ|@kC\s@v@oAbAuAfBgBpBiB|@iBPo@RcBDaAI{AOgAOc@a@SWASBUPKXCV@XH\J\Tr@^PPFd@NhCf@dATzAFr@AzEWLFj@Th@TnDtA
960,1,40239,40089,28,}kaGequxRvBz@lDx@h@@h@C`@S`AgEKQM{@t@}C
960,1,40089,40079,29,c|`Gy{uxRh@yBREb@CLw@Pu@a@MDK
960,1,40079,40119,30,}x`GedvxRDO^Dh@eCb@cBb@eBZwAa@I~@kE
960,1,40119,40069,31,kr`GmxvxRVeATVt@kD{Bc@DQdAPTBPKvAsGeA`A
960,1,40069,40059,32,on`GwcwxRv@oDv@@PQp@k@r@o@z@u@v@q@
960,1,40059,40049,33,sc`G{owxRrHyGFIn@y@hA_AvAmA
960,1,40049,40039,34,es_Gg_xxRzAmARE?SDUNUNIPET?VHVOBCDGx@}B`@oA
960,1,40039,40029,35,ed_GiixxRa@hAN\jAMzBWPlAJb@{AReC\_BT{AZCPIN[Pa@BQEKIw@iACG?SDUNUNIPET?VHVOBCDGx@}B|A}E~@wA`@kAb@kA
960,1,40029,40279,36,ob_GewxxR?C~@aCRo@@G\eARm@Pg@Li@Lk@j@iB^q@@Af@q@Pc@
960,1,40279,40019,37,qx~FilyxRJYhDcCjA_Ah@s@tAqAjEaFf@m@
960,1,40019,7539,38,ed~Fw`zxRRWvC{DzAuBb@a@l@eBQGQIw@{@}@iA`BgBhA|@cAfA
960,1,7539,7589,39,}z}FcszxRi@j@}@iA{@cAc@g@k@YNKRYlBoChBkCd@s@fAn@j@^tAj@|@j@Vi@Tk@Hk@UgA@aAvAaB
960,1,7589,1059,40,km}Fcj{xRV[FM|@sAhA_BJH|BlBNL
960,1,1059,1119,41,ic}F{l{xR|AnAHH`CjBHHXR
960,1,1119,1019,42,{z|Fwe{xRXTRNtC`Cz@n@HFDY`@k@nBgCPL|B|An@`@v@j@jAv@gB~BAVBFGF
960,1,1019,2049,43,{h|F}vzxRJFtDbDhDmFbDwE
960,1,2049,2089,44,my{Fk~zxRh@w@`AuAr@w@j@eAt@cBP]r@kAx@aBZs@FKx@_BTg@dAyBT{@DSDeA
960,2,2101,2051,0,mzzF_o|xR}Ig@BcA@MBQFk@Pi@TSZCf@J`B`@pA^ZPNRJh@Af@Ab@APIhDE~AIxCAZE|AAf@Cn@[AC?GCKGCC?A
960,2,2051,2061,1,i{zFc~{xR?BAf@Cn@EvBErACn@CbACRP\?NOp@u@r@UJEA
960,2,2061,4151,2,w~zFuk{xRSIgAnA_BpB}@bAEDg@l@{@p@uArA}@~Ag@dAk@`Ag@~@a@r@K\}AnC{AnC{@bB]~@_CmAEIIIUM
960,2,4151,1013,3,{~{F_nzxR}BqBuDcDeCkBIGeDcCKIGHwBvCGFrAdA~@v@~@mARL
960,2,1013,1112,4,_k|FuxzxRu@k@IGeDcCKIIG{@o@uCaCSOYU
960,2,1112,7551,5,u||Fgg{xRkByAyC~ChAz@
960,2,7551,7531,6,wc}Fcd{xRbAt@lA`AZVzA{A~@aASOs@i@IIaCkByC~C{CdCeBdAiAh@[b@Yb@a@n@_@~@Mb@
960,2,7531,40011,7,ss}FyuzxRUx@c@dAWj@a@`Ak@|A]t@kAi@b@a@l@eBXs@JYXu@b@iALu@Po@Pa@Xk@^g@r@aA~@h@^^vB`BrB~AdDfC~AlAIJmBfCIJcAnAm@v@@J@LaAGqEAIAuAGq@G_@Ig@KWOqAtB]f@Yd@eBnCkAy@s@a@
960,2,40011,40271,8,{a~F{_zxRIGA@eIjKWVOPsB`AaA`@
960,2,40271,40021,9,ks~FgoyxRuAl@g@Zy@v@g@p@A@_@p@k@hBMj@Mh@Qf@Sl@]dAAFSn@g@pA
960,2,40021,40031,10,sa_GayxxR[v@c@jAXV~Ah@wA~D
960,2,40031,40041,11,qb_G{lxxR_@fA_Bk@YbAwA~DYx@FJDb@CPIN[Pa@BQEKIcDlC
960,2,40041,40051,12,}r_G{zwxR_Av@cBxAgAf@{ArA
960,2,40051,40111,13,q_`GipwxRoEzDs@l@KRCDKZwCfM
960,2,40111,40071,14,am`GuyvxRwAdGg@zBa@`B]xAOp@j@N
960,2,40071,40081,15,er`GuevxRk@OcAfEk@nDCLc@vBg@rB_@zA?n@J\BB
960,2,40081,40231,16,oz`GapuxRAHk@|B}@C?Ay@MaBa@kCm@
960,2,40231,44269,17,}kaGequxRcBo@i@Uk@UMG{EVs@@{AGw@PSHYZ}@hBm@t@w@h@iCvBmArAqAhB]l@g@bAm@fBeDzK}@zBeDlH_FlKyCvGy@`Ci@hCS~A[jBi@hBs@fBy@rAkQlSuA~AoD`EaErEqAxAsOnNoDhDgEtDeF|EuHbHcBpB_BlCiAhCa@fCKp@At@?n@D\Nd@f@r@l@j@zAlAZ`@P`@Fl@Ah@Of@GVWZa@`@{@p@eJ~E_@TuAz@{CtBsArAiB~BcBpCsJ~PqE~FuEnEqF|DeFlCaFjBoF|AuCd@_Ft@G?aHj@mMfAC?iHfAiThDuFnAsGlBWJ_@XS^a@pCKpCWfBU|@Yr@_AdBQ\OXm@jAsAhCCj@B^Nj@PVrAr@v@{Ax@{Az@b@hBiDg@USIS^aAg@fBaD
960,2,44269,44229,18,yrkG{ikxRgB`D`Af@R_@RHf@TiBhD{@c@y@zAa@Q
960,2,44229,44219,19,qykGa}jxR`@Pw@zAvBhAs@~At@\w@xA
960,2,44219,44209,20,itkGgjjxR}Aw@qErItAr@m@hA
960,2,44209,44731,21,q|kGm}ixRl@iAuAs@eBdD_@p@MTMRe@|@S|@Ex@B|@BPBLMDqAf@u@ZMFOFA`ATrA
960,2,44731,44259,22,ujlGsqixR[s@[LhA|CA`A`@~B]?YcBIMOE[J]RsAf@]nA
960,2,44259,44041,23,aqlGyfixR\oArAg@\SZKNDHLXbB\?a@_CWOYG]?cExASd@AXJt@fBtFp@`BLRL\yAf@qFrBRh@\~@
960,2,44041,44051,24,gvlGqqhxR]_ASi@aFrBmAZwAn@^~@gEhDFR
960,2,44051,43991,25,aimG}fhxRGSfEiD_@_A]Xa@Vo@l@y@z@eApAcA`AqCvBoD|BID
960,2,43991,44061,26,axmGo}gxRi@\SNOJo@`@sAr@cBx@
960,2,44061,45011,27,}anGawgxR{ChA[L}Ad@uCp@SD
960,2,45011,45021,28,}onGkqgxRiFz@MBi@H_AHcAHqHh@
960,2,45021,45031,29,iioGsigxR?U?mAgACy@AGAkAWgAUm@hB{@K
960,2,45031,45041,30,guoGmogxRgCm@uD}@aAW[ISG]K]IQGw@SWKcHu@
960,2,45041,45051,31,yppGwwgxR{LoAmBK
960,2,45051,45061,32,cbqGszgxRgBK_@?cDA_@?E?_@?eI?aAB
960,2,45061,45071,33,}yqG}zgxRc@@iAJk@DgCTyD\
960,2,45071,45091,34,yhrGuxgxRYBw@BwCIqBG_@AsB?Y?eBAmA@qB`@}BbA
960,2,45091,45101,35,gfsG{ugxRa@RmBt@aCd@{CHO?m@BgH@kAGE?
960,2,45101,45111,36,matGcrgxR[?a@???c@CoCS??mDiAyDkB
960,2,45111,45121,37,gttGqxgxRgB{@KGgAe@[MWQu@a@k@q@??[o@Ma@Oi@WgAi@}C
960,2,45121,45131,38,ubuGqjhxREUe@aDWaAs@eBgAkBUa@
960,2,45131,46389,39,kiuG_zhxRc@u@gBcC]g@UY]e@{@mAMSUYW_@s@cAwAwBWg@uBcFm@aAWYMOSQ}@w@o@_@EC
960,2,46389,46499,40,wcvG_}ixRcD{A{@m@s@m@a@c@iAqBg@kBg@kBe@{DWcBm@gG
960,2,46499,46521,41,suvGm_kxRCSIkAC]AYEw@?]AmD
960,2,46521,46531,42,ovvGqjkxRAeIkD@?uAiAB}@?C{E@qEdAAz@@?hA
960,2,46531,46541,43,asvGc_lxR?`BGhFgB?BzL?\Dv@@XQQNGEw@?]C{L?cOIiBWgBCWI[Mo@i@aBmAiCaB{BcDcDbByAd@j@@TnC`D
960,2,46541,46009,44,c|vGwulxRCEaB{BcDcDIIwAwAGGo@aAGKEQa@_B_BsFiHlBy@SiA}Dv@U
