ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,Latitude,Longitude,Description,RoadName
190,SMRT,1,6,44279,2.1,1.37910867690077,103.75635459940506,Blk 157,Teck Whye Ave
190,SMRT,1,7,44141,2.5,1.37835602806756,103.75773677895589,Phoenix Stn,Choa Chu Kang Rd
190,SMRT,1,8,44251,3.1,1.38030076722264,103.76231669235113,Bt Panjang Stn/Blk 604,Bt Panjang Rd
190,SMRT,1,9,44241,3.5,1.38117443945082,103.76586096715347,Opp Lompang Rd,Bt Panjang Rd
190,SMRT,1,10,44231,4.0,1.37916686797468,103.76933485417399,Zhenghua Pr Sch,Bt Panjang Rd
190,SMRT,1,11,44261,4.7,1.3760822219899,103.774277778025,Blk 270,Bt Panjang Rd
190,SMRT,1,14,40239,14.3,1.322585278,103.8262153,Bef Stevens Stn Exit 4,Whitley Rd
190,SMRT,1,15,40229,14.7,1.319241,103.825711,Bef Stevens Stn Exit 2,Stevens Rd
190,SMRT,1,16,40219,14.9,1.317033,103.826044,Bef Met YMCA,Stevens Rd
190,SMRT,1,17,40209,15.3,1.31388805600649,103.82738777802837,Novotel Mercure @ Stevens,Stevens Rd
190,SMRT,1,18,40199,15.8,1.31258333303153,103.83191222199584,Aft Balmoral Rd,Stevens Rd
190,SMRT,1,19,09219,16.5,1.30731999685228,103.83316088291699,Far East Plaza,Scotts Rd
190,SMRT,1,20,09047,16.9,1.30446065207443,103.83294467208566,Orchard Stn/Tang Plaza,Orchard Rd
190,SMRT,1,21,09037,17.4,1.3023400420296,103.83701253388183,Bef Cairnhill Rd,Orchard Rd
190,SMRT,1,22,08138,18.1,1.3004785730821,103.84184700607595,Concorde Hotel S'pore,Orchard Rd
190,SMRT,1,23,08057,18.5,1.29930997279734,103.84529021429745,Dhoby Ghaut Stn,Orchard Rd
190,SMRT,1,24,08069,19.0,1.29821382250893,103.84936128375956,Bencoolen Stn Exit B,Bras Basah Rd
190,SMRT,1,25,04159,19.5,1.29489484954945,103.85108138663934,Aft CHIJMES,Victoria St
190,SMRT,1,26,04149,19.8,1.29276132399953,103.84983741344308,Grand Pk City Hall,Hill St
190,SMRT,1,27,04229,20.1,1.29044830830726,103.84875123545265,High St Ctr,Hill St
190,SMRT,1,28,04239,20.3,1.28882717929599,103.8474938118651,Opp Clarke Quay Stn,New Bridge Rd
190,SMRT,1,29,05059,20.6,1.28676420118491,103.84575036447065,Hong Lim Pk,New Bridge Rd
190,SMRT,1,30,05049,20.8,1.28531114761754,103.84455070696784,Chinatown Stn Exit E,New Bridge Rd
190,SMRT,1,31,05039,21.2,1.28293819129834,103.84254276754574,New Bridge Ctr,New Bridge Rd
190,SMRT,1,32,05019,21.5,1.28118388885484,103.84105000000471,Aft Duxton Plain Pk,New Bridge Rd
190,SMRT,1,33,05069,21.6,1.28027629959632,103.84029791443083,Outram Pk Stn Exit 4,New Bridge Rd
190,SMRT,1,34,10011,22.0,1.2777380589964,103.83749709165197,Bef Neil Rd,New Bridge Rd
190,SMRT,1,35,10041,22.3,1.27605834770353,103.83519065305671,Bef Kampong Bahru Ter,Kg Bahru Rd
190,SMRT,1,36,10499,22.9,1.27585400417691,103.83401000002084,Kampong Bahru Ter,Spooner Rd
190,SMRT,2,1,10499,0.0,1.27585400417691,103.83401000002084,Kampong Bahru Ter,Spooner Rd
190,SMRT,2,2,10049,0.7,1.27623302424393,103.83483786772155,Opp Kampong Bahru Ter,Kg Bahru Rd
190,SMRT,2,3,10017,1.1,1.27832046633393,103.83762574759974,Aft Hosp Dr,Eu Tong Sen St
190,SMRT,2,4,05012,1.6,1.28154583300728,103.84087722199499,Bef Pearl's Hill Terr,Eu Tong Sen St
190,SMRT,2,5,05022,2.2,1.28571089865595,103.84437203405348,Aft Chinatown Stn Exit D,Eu Tong Sen St
190,SMRT,2,6,04222,2.7,1.28898962180798,103.84708976365569,Clarke Quay Stn Exit E,Eu Tong Sen St
190,SMRT,2,7,04223,3.0,1.29084476137495,103.84857901022669,Old Hill St Police Stn,Hill St
190,SMRT,2,8,04143,3.4,1.29411640848293,103.85020606905503,Stamford Ct,Hill St
190,SMRT,2,9,04121,3.7,1.29618544092334,103.84958029974611,SMU,Stamford Rd
190,SMRT,2,10,08041,4.0,1.29811014243867,103.84780636909545,YMCA,Orchard Rd
190,SMRT,2,11,08031,4.3,1.29831153783592,103.8452569595532,Dhoby Ghaut Stn Exit B,Penang Rd
190,SMRT,2,12,08111,4.8,1.29986928715834,103.84093746088925,Winsland Hse,Penang Rd
190,SMRT,2,13,08121,5.1,1.30027569326586,103.83877618459663,Somerset Stn,Somerset Rd
190,SMRT,2,16,09011,5.8,1.30211335092372,103.83431672376756,Opp Ngee Ann City,Orchard Turn
190,SMRT,2,17,09023,6.1,1.30323727330942,103.83254180023424,Opp Orchard Stn/ION,Orchard Turn
190,SMRT,2,18,09213,6.8,1.30783805600034,103.83305083303023,15 Scotts,Scotts Rd
190,SMRT,2,19,40191,7.6,1.31268555601325,103.8304269440197,Aft Draycott Pk,Stevens Rd
190,SMRT,2,20,40201,8.0,1.31358972201496,103.82743055599407,Chelsea Gdns Condo,Stevens Rd
190,SMRT,2,21,40211,8.4,1.31655331624558,103.825862990405,Opp Met YMCA,Stevens Rd
190,SMRT,2,22,40221,8.7,1.31902531287493,103.82545561296305,Stevens Stn Exit 3,Stevens Rd
190,SMRT,2,23,40231,9.0,1.32230868317131,103.82577145824762,Raffles Town Club,Whitley Rd
190,SMRT,2,26,44269,18.1,1.37577833299245,103.77422500002575,Blk 223,Bt Panjang Rd
190,SMRT,2,27,44239,18.7,1.37846111098819,103.76983083299403,Opp Zhenghua Pr Sch,Bt Panjang Rd
190,SMRT,2,28,44249,19.1,1.38049595009817,103.76649141308671,Blk 174,Bt Panjang Rd
190,SMRT,2,29,44259,19.5,1.38029564329691,103.76297124601712,Blk 183,Bt Panjang Rd
190,SMRT,2,30,44149,20.1,1.37798495709362,103.75776732086608,Opp Phoenix Stn,Choa Chu Kang Rd
190,SMRT,2,31,44271,20.4,1.37867114732017,103.75614774814443,Bet Blks 13/14,Teck Whye Ave
190,SMRT,2,32,44281,20.8,1.38104915821148,103.75422740795686,Blk 8,Teck Whye Ave
190,SMRT,2,33,44291,21.1,1.38151999999791,103.75140111097832,Opp CCK Polyclinic,Teck Whye Ave
190,SMRT,2,34,44391,21.5,1.38288970873929,103.74831030292964,Aft Blk 202,Choa Chu Kang Dr
190,SMRT,2,35,44009,22.3,1.38586897797184,103.74578895932125,Choa Chu Kang Int,Choa Chu Kang Loop
960,SMRT,1,1,46009,0.0,1.436946,103.785936,Woodlands Int,Woodlands Sq
960,SMRT,1,2,46549,0.9,1.43319818915334,103.7812567265195,Blk 347,Woodlands Ave 3
960,SMRT,1,3,46539,1.3,1.43209962904173,103.77822365534921,Blk 320,Woodlands Ave 3
960,SMRT,1,4,46529,1.7,1.43208152770031,103.77459689006626,Opp Marsiling Stn,Woodlands Ave 3
960,SMRT,1,5,46491,2.0,1.43188974761143,103.77200799456398,Blk 402,Woodlands Ave 3
960,SMRT,1,6,46381,2.7,1.42907427878851,103.76676266569542,Opp W'lands Ind Pk D St 1,Woodlands Ave 3
960,SMRT,1,7,45139,3.4,1.42525961270458,103.76178101875855,Kranji Stn,Woodlands Rd
960,SMRT,1,8,45129,3.8,1.42382925070118,103.75863462427267,KF1 Karting Circuit,Woodlands Rd
960,SMRT,1,9,45119,4.2,1.42181345656216,103.75597729351239,Kranji War Memorial,Woodlands Rd
960,SMRT,1,10,45109,4.7,1.41785797439114,103.75478033541316,Bef Jln Bumbong,Woodlands Rd
960,SMRT,1,11,45099,5.2,1.41341731294698,103.75591307485898,Aft Jln Bumbong,Woodlands Rd
960,SMRT,1,12,45079,5.6,1.40959346067748,103.75588199006808,Aft Mandai Rd,Woodlands Rd
960,SMRT,1,13,45069,6.1,1.4069390779681,103.75626773948963,Aft Mandai Est,Woodlands Rd
960,SMRT,1,14,45059,6.4,1.40340952558706,103.75620896675814,Opp Da Di Glass,Woodlands Rd
960,SMRT,1,15,45049,7.0,1.39773638898124,103.75499277801016,Opp Yew Tee Ind Est Blk 1,Woodlands Rd
960,SMRT,1,16,45039,7.2,1.39585817355572,103.75427816224409,Opp Yew Tee Ind Est,Woodlands Rd
960,SMRT,1,17,45029,7.5,1.39303959514259,103.75414864750223,Opp Heavy Veh Pk,Woodlands Rd
960,SMRT,1,18,44999,7.7,1.391239722,103.7545111,Bef Yew Tee Flyover,Woodlands Rd
960,SMRT,1,19,45019,8.1,1.38829923721056,103.75553944051408,Aft Yew Tee Flyover,Woodlands Rd
960,SMRT,1,20,44069,8.4,1.38592018696626,103.75717769160771,Aft KJE Slip Rd,Woodlands Rd
960,SMRT,1,21,44059,8.6,1.38449631673384,103.75817595629141,Blk 632 CP,Woodlands Rd
960,SMRT,1,22,44049,9.1,1.38103523807931,103.7608578414621,Opp Junction 10,Woodlands Rd
960,SMRT,1,23,44251,9.3,1.38030076722264,103.76231669235113,Bt Panjang Stn/Blk 604,Bt Panjang Rd
960,SMRT,1,24,44739,9.7,1.37876549999936,103.76459849996492,Blk 180,Jelebu Rd
960,SMRT,1,25,44201,10.1,1.37732275970527,103.7672668951858,Aft Petir Stn,Petir Rd
960,SMRT,1,26,44211,10.4,1.37610015820197,103.76921822286211,Blk 127,Petir Rd
960,SMRT,1,27,44221,10.7,1.3762995851872,103.77099428887409,Opp Pending Stn,Pending Rd
960,SMRT,1,28,44261,11.2,1.3760822219899,103.774277778025,Blk 270,Bt Panjang Rd
960,SMRT,1,31,40239,20.8,1.322585278,103.8262153,Bef Stevens Stn Exit 4,Whitley Rd
960,SMRT,1,32,40089,21.2,1.320510556,103.8273903,Aft Stevens Stn Exit 5,Dunearn Rd
960,SMRT,1,33,40079,21.5,1.3197216415795,103.8299145659947,Bef Swiss Cottage Est,Dunearn Rd
960,SMRT,1,34,40119,21.8,1.31889734253426,103.83249521257974,Bef Goldhill Ave,Dunearn Rd
960,SMRT,1,35,40069,22.0,1.31830398893217,103.83435129198834,Anglo-Chinese Sch,Dunearn Rd
960,SMRT,1,36,40059,22.3,1.31662138896806,103.83634361100417,Chancery Ct,Dunearn Rd
960,SMRT,1,37,40049,22.7,1.31402305600959,103.83884638900086,Opp Newton Stn Exit C,Dunearn Rd
960,SMRT,1,38,40039,23.0,1.31230305602353,103.8407255559936,Opp Newton FC,Bt Timah Rd
960,SMRT,1,39,40029,23.3,1.31142305600915,103.84265999998345,Aft Makepeace Rd,Bt Timah Rd
960,SMRT,1,40,40279,23.7,1.30981925741503,103.8460393043403,KK Women & Children Hosp,Bt Timah Rd
960,SMRT,1,41,40019,24.2,1.30664404460339,103.84920416709382,Little India Stn,Bt Timah Rd
960,SMRT,1,42,07539,24.6,1.30461300741211,103.8520009720951,Bef Rochor Stn Exit B,Sungei Rd
960,SMRT,1,43,07589,25.0,1.30320609782822,103.85549999983388,Ch of Our Lady of Lourdes,Ophir Rd
960,SMRT,1,44,01059,25.4,1.30075679526626,103.85611040457583,Bugis Stn Exit B,Victoria St
960,SMRT,1,45,01119,25.6,1.2996041093804,103.85512934079571,Aft Bugis Stn Exit C,Victoria St
960,SMRT,1,46,01019,26.0,1.29698951191332,103.85302201172507,Bras Basah Cplx,Victoria St
960,SMRT,1,47,02049,26.4,1.29452091230981,103.85402155505173,Raffles Hotel,Bras Basah Rd
960,SMRT,1,48,02089,27.1,1.29152694444975,103.8592061110504,Promenade Stn/Pan Pacific,Raffles Blvd
960,SMRT,2,1,02101,0.4,1.28938483786533,103.86183148116275,Aft S'pore Flyer,Raffles Ave
960,SMRT,2,2,02051,0.8,1.289503056,103.8590339,The Float @ Marina Bay,Raffles Ave
960,SMRT,2,3,02061,1.1,1.2899638888957,103.85640388886262,The Esplanade,Raffles Ave
960,SMRT,2,4,04151,2.0,1.29533777799211,103.85113972198121,Cath of The Good Shepherd,Victoria St
960,SMRT,2,5,01013,2.4,1.29770970610083,103.8532247463225,St. Joseph's Ch,Victoria St
960,SMRT,2,6,01112,2.7,1.30009212839081,103.85520027125814,Opp Bugis Stn Exit C,Victoria St
960,SMRT,2,7,07551,3.0,1.30171975809706,103.8546132267025,Fu Lu Shou Cplx,Rochor Rd
960,SMRT,2,8,07531,3.3,1.30365644370093,103.8525732326128,Rochor Stn,Rochor Canal Rd
960,SMRT,2,9,40011,3.7,1.30606411522588,103.84908751469008,Little India Stn Exit A,Bt Timah Rd
960,SMRT,2,10,40271,4.2,1.30880664936794,103.8463464537845,Opp KK Women & Child Hosp,Bt Timah Rd
960,SMRT,2,11,40021,4.7,1.311033889,103.8427911,Bef Winstedt Rd,Bt Timah Rd
960,SMRT,2,12,40031,5.0,1.31178509472011,103.84098359641321,Newton FC,Bt Timah Rd
960,SMRT,2,13,40041,5.4,1.3137222313328,103.83809742560602,Newton Stn Exit C,Bt Timah Rd
960,SMRT,2,14,40051,5.8,1.31588,103.83632,Balmoral Plaza,Bt Timah Rd
960,SMRT,2,15,40111,6.2,1.31806499998598,103.83262555597635,Ferrell Residences,Bt Timah Rd
960,SMRT,2,16,40071,6.6,1.31918027796911,103.829213610999,Leng Kwang Baptist Ch,Bt Timah Rd
960,SMRT,2,17,40081,7.0,1.32012951912406,103.82605259642706,Stevens Stn Exit 1,Bt Timah Rd
960,SMRT,2,18,40231,7.3,1.32230868317131,103.82577145824762,Raffles Town Club,Whitley Rd
960,SMRT,2,21,44269,16.4,1.37577833299245,103.77422500002575,Blk 223,Bt Panjang Rd
960,SMRT,2,22,44229,16.8,1.37656055754166,103.771459794786,Bef Pending Stn,Pending Rd
960,SMRT,2,23,44219,17.1,1.37578333297826,103.769352222019,Bet Blks 139/140,Petir Rd
960,SMRT,2,24,44209,17.4,1.37719530827914,103.76698269593902,Opp Petir Stn,Petir Rd
960,SMRT,2,25,44731,17.8,1.37887883000016,103.76432732997739,Opp Blk 180,Jelebu Rd
960,SMRT,2,26,44259,18.1,1.38029564329691,103.76297124601712,Blk 183,Bt Panjang Rd
960,SMRT,2,27,44041,18.5,1.3809505774787,103.7603697770399,Junction 10,Woodlands Rd
960,SMRT,2,28,44051,19.0,1.38440811744123,103.75801976703181,Opp Blk 632 CP,Woodlands Rd
960,SMRT,2,29,43991,19.2,1.386207,103.7565,Opp Blk 635A,Woodlands Rd
960,SMRT,2,30,44061,19.4,1.38792499938306,103.7553863903753,Bef Yew Tee Flyover,Woodlands Rd
960,SMRT,2,31,45011,19.6,1.3902154350718,103.75455779683573,Aft Yew Tee Flyover,Woodlands Rd
960,SMRT,2,32,45021,20.0,1.39385694401888,103.75383583300305,Heavy Veh Pk,Woodlands Rd
960,SMRT,2,33,45031,20.4,1.39623361717149,103.75421868895825,Yew Tee Ind Est,Woodlands Rd
960,SMRT,2,34,45041,20.9,1.40062703005588,103.75556160767161,Thong Huat Bros Pte Ltd,Woodlands Rd
960,SMRT,2,35,45051,21.2,1.403385556,103.7560103,Da Di Glass,Woodlands Rd
960,SMRT,2,36,45061,21.6,1.40718111138275,103.75606300126093,Opp Mandai Est,Woodlands Rd
960,SMRT,2,37,45071,21.9,1.40955433592964,103.75568311864467,Bef Mandai Rd,Woodlands Rd
960,SMRT,2,38,45091,22.4,1.41421866753882,103.75523144616068,Opp Jln Bumbong,Woodlands Rd
960,SMRT,2,39,45101,22.9,1.41863235748269,103.75457151987825,Aft LP 234,Woodlands Rd
960,SMRT,2,40,45111,23.3,1.42170099129292,103.75566245596836,Opp Kranji War Memorial,Woodlands Rd
960,SMRT,2,41,45121,23.8,1.42402638898738,103.75863222200965,Opp KF1 Karting Circuit,Woodlands Rd
960,SMRT,2,42,45131,24.1,1.42513583961154,103.76103770449444,Opp Kranji Stn,Woodlands Rd
960,SMRT,2,43,46389,24.9,1.42930397640592,103.76660954719264,Aft W'lands Ind Pk D St 1,Woodlands Ave 3
960,SMRT,2,44,46499,25.6,1.4322913388299,103.77219638823969,Opp Blk 402,Woodlands Ave 3
960,SMRT,2,45,46521,25.8,1.43237833345523,103.77429333367095,Marsiling Stn,Woodlands Ave 3
960,SMRT,2,46,46531,26.2,1.43240249999047,103.77751138903017,Blk 173,Woodlands Ave 3
960,SMRT,2,47,46541,26.6,1.43328331503309,103.78083569681783,Marsiling Mall,Woodlands Ave 3
960,SMRT,2,48,46009,27.3,1.436946,103.785936,Woodlands Int,Woodlands Sq
